experiment,seed,gauge_type,context_law,n_train,n_test,context_dim,K,d,r_star,sigma_z,sigma_y,relative_prediction_error,prediction_mse,embedding_cov_isotropy_error,expected_embedding_cov_isotropy_error,embedding_cov_expected_error,projection_gaussianity_score
gauge_factorization,0,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.055664244400494035,0.0,0.05577468649177186,8.902132061374942e-05
gauge_factorization,1,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.059525450249183265,0.0,0.05955555693562015,7.53733209230455e-05
gauge_factorization,2,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05050162595851983,0.0,0.05082333074037617,0.00010019588808913019
gauge_factorization,3,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05646084901331436,0.0,0.056415030933813566,5.303409093709702e-05
gauge_factorization,4,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05572464092195461,0.0,0.05649953030908297,0.00010695072692353714
gauge_factorization,5,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05130753388022251,0.0,0.05155253103356097,7.518478923303887e-05
gauge_factorization,6,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.054126435234497276,0.0,0.054047396900809605,7.51610575981387e-05
gauge_factorization,7,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.059501067210554655,0.0,0.05940664530236225,9.591247306751914e-05
gauge_factorization,8,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05144882616789205,0.0,0.05150088181196301,8.854189845801359e-05
gauge_factorization,9,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.053388090291667425,0.0,0.053685720177845245,7.739965223401286e-05
gauge_factorization,0,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,5.31525746978951e-16,6.381415731847759e-30,0.05566424440049403,5.185894464719314e-16,0.05577468649177186,9.173730183355409e-05
gauge_factorization,1,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,4.818854951818759e-16,5.271752763036281e-30,0.059525450249183286,5.847730445572442e-16,0.05955555693562012,7.72885072174147e-05
gauge_factorization,2,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,6.141624524881373e-16,8.466826260711964e-30,0.050501625958519814,6.073028273557686e-16,0.050823330740376156,8.134770900110497e-05
gauge_factorization,3,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,5.310438878662127e-16,6.35550101524344e-30,0.05646084901331434,5.521865930650423e-16,0.05641503093381355,7.644890390384095e-05
gauge_factorization,4,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,4.715873251708924e-16,5.049006045153396e-30,0.05572464092195461,4.292726376967412e-16,0.05649953030908293,9.623940719591541e-05
gauge_factorization,5,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,5.614479918493182e-16,7.147353908378399e-30,0.051307533880222495,4.894163806899701e-16,0.051552531033560965,7.551873029247748e-05
gauge_factorization,6,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,5.557335570929027e-16,6.971854484576268e-30,0.054126435234497255,5.880030229099017e-16,0.05404739690080963,7.441979398665814e-05
gauge_factorization,7,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,5.00524419150145e-16,5.6481191927941464e-30,0.05950106721055467,5.715901348202249e-16,0.05940664530236225,8.692341739564982e-05
gauge_factorization,8,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,4.73475645677376e-16,5.0740775774194006e-30,0.0514488261678921,6.081152380084802e-16,0.051500881811963,8.257723342080629e-05
gauge_factorization,9,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,5.007243339923324e-16,5.667173684973992e-30,0.053388090291667405,5.385820602592398e-16,0.053685720177845245,8.189507365168667e-05
gauge_factorization,0,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.513966337743761e-17,2.044521333774737e-31,0.9942778886928291,0.9966898526525193,0.03693193053926551,0.027950321454409274
gauge_factorization,1,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.505977703143738e-17,2.0514498686837463e-31,1.0079361109173948,0.9966898526525193,0.04641736542009878,0.02745307574384006
gauge_factorization,2,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.520352726175347e-17,2.0345117518354087e-31,1.0037860025012355,0.9966898526525193,0.03601356636935639,0.027460029244766274
gauge_factorization,3,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.441376388580519e-17,2.0089058626795755e-31,0.9922175699282251,0.9966898526525193,0.038654071952832825,0.028301462291962173
gauge_factorization,4,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.437720557644114e-17,2.0221616546568393e-31,0.991873736360027,0.9966898526525193,0.03830852581808418,0.02678696797934109
gauge_factorization,5,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.49123907394027e-17,2.0425469471159767e-31,0.9994275716335664,0.9966898526525193,0.03612551093403135,0.02648774859920946
gauge_factorization,6,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.473960638318845e-17,2.0261809252352832e-31,1.0050818725517126,0.9966898526525193,0.03379459090353501,0.02696233415297351
gauge_factorization,7,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.43911560595554e-17,2.0087039000916007e-31,1.0005853721891602,0.9966898526525193,0.038169162338697084,0.028795150610660566
gauge_factorization,8,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.568081481343836e-17,2.072103971438153e-31,1.0033128070535824,0.9966898526525193,0.0381610864586521,0.026222960485225977
gauge_factorization,9,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.495501717488194e-17,2.038003666933515e-31,0.9965943402383108,0.9966898526525193,0.04111155490311982,0.027125758615361484
gauge_factorization,0,gaussianized,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.055664244400494035,0.0,0.05577468649177186,8.902132061374942e-05
gauge_factorization,1,gaussianized,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.059525450249183265,0.0,0.05955555693562015,7.53733209230455e-05
gauge_factorization,2,gaussianized,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05050162595851983,0.0,0.05082333074037617,0.00010019588808913019
gauge_factorization,3,gaussianized,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05646084901331436,0.0,0.056415030933813566,5.303409093709702e-05
gauge_factorization,4,gaussianized,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05572464092195461,0.0,0.05649953030908297,0.00010695072692353714
gauge_factorization,5,gaussianized,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05130753388022251,0.0,0.05155253103356097,7.518478923303887e-05
gauge_factorization,6,gaussianized,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.054126435234497276,0.0,0.054047396900809605,7.51610575981387e-05
gauge_factorization,7,gaussianized,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.059501067210554655,0.0,0.05940664530236225,9.591247306751914e-05
gauge_factorization,8,gaussianized,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05144882616789205,0.0,0.05150088181196301,8.854189845801359e-05
gauge_factorization,9,gaussianized,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.053388090291667425,0.0,0.053685720177845245,7.739965223401286e-05
gauge_factorization,0,identity,laplace,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05863889358966647,0.0,0.05982292439962901,0.00463262044533935
gauge_factorization,1,identity,laplace,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.0627012203601235,0.0,0.06257992158308431,0.004876423556738993
gauge_factorization,2,identity,laplace,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05634003003021423,0.0,0.056321554739499916,0.004697093978814501
gauge_factorization,3,identity,laplace,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.060447063453395115,0.0,0.0605827544296132,0.004582783912071506
gauge_factorization,4,identity,laplace,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.0572657229415174,0.0,0.05732271643152238,0.004777471235284879
gauge_factorization,5,identity,laplace,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05855323331537522,0.0,0.058883876442573355,0.004577652587721689
gauge_factorization,6,identity,laplace,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05890608912145655,0.0,0.059014383573203225,0.004730288990441596
gauge_factorization,7,identity,laplace,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05832052765866693,0.0,0.05848893713755447,0.004733443701866393
gauge_factorization,8,identity,laplace,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.061745867422710966,0.0,0.06166500165518181,0.0048776556032661894
gauge_factorization,9,identity,laplace,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05962916353569711,0.0,0.059528065716888505,0.004699336476573126
gauge_factorization,0,orthogonal,laplace,8192,8192,64,24,24,24,0.25,0.25,5.534314951449707e-16,6.966313689544126e-30,0.05863889358966644,5.307378650264087e-16,0.05982292439962904,0.0003686555563613646
gauge_factorization,1,orthogonal,laplace,8192,8192,64,24,24,24,0.25,0.25,5.709478218241231e-16,7.339768968252887e-30,0.06270122036012352,5.468772498900804e-16,0.0625799215830843,0.00043356414761803937
gauge_factorization,2,orthogonal,laplace,8192,8192,64,24,24,24,0.25,0.25,5.427538302263342e-16,6.673095928663986e-30,0.0563400300302142,5.274794300370971e-16,0.056321554739499895,0.000377825636005092
gauge_factorization,3,orthogonal,laplace,8192,8192,64,24,24,24,0.25,0.25,5.716876866247487e-16,7.368215955241988e-30,0.060447063453395115,4.631436858278336e-16,0.06058275442961322,0.00042987403342824673
gauge_factorization,4,orthogonal,laplace,8192,8192,64,24,24,24,0.25,0.25,6.023753171527718e-16,8.132714699014231e-30,0.057265722941517376,4.981562942622538e-16,0.05732271643152239,0.0005279034541698006
gauge_factorization,5,orthogonal,laplace,8192,8192,64,24,24,24,0.25,0.25,6.135876745446541e-16,8.540952646278851e-30,0.05855323331537527,6.57703597650194e-16,0.05888387644257332,0.00038905016627755314
gauge_factorization,6,orthogonal,laplace,8192,8192,64,24,24,24,0.25,0.25,4.889613130317573e-16,5.4157636836294104e-30,0.0589060891214565,4.691812164956097e-16,0.059014383573203204,0.00045601352339962514
gauge_factorization,7,orthogonal,laplace,8192,8192,64,24,24,24,0.25,0.25,4.814402326983797e-16,5.271736915126849e-30,0.058320527658666896,5.680984643837314e-16,0.058488937137554486,0.0004140877783409446
gauge_factorization,8,orthogonal,laplace,8192,8192,64,24,24,24,0.25,0.25,4.9649300559942075e-16,5.54187028087591e-30,0.06174586742271095,5.565947128868227e-16,0.06166500165518179,0.0004960154714105029
gauge_factorization,9,orthogonal,laplace,8192,8192,64,24,24,24,0.25,0.25,6.167477983064754e-16,8.577021292604039e-30,0.05962916353569711,5.251716219881068e-16,0.05952806571688852,0.0005008013812272419
gauge_factorization,0,diagonal,laplace,8192,8192,64,24,24,24,0.25,0.25,9.431937297739195e-17,2.0233783331313182e-31,0.9981468870333366,0.9966898526525193,0.03792743642855792,0.02880319600459672
gauge_factorization,1,diagonal,laplace,8192,8192,64,24,24,24,0.25,0.25,9.401956904451993e-17,1.990334456069428e-31,1.003770949811587,0.9966898526525193,0.05563621550057942,0.02802717083689489
gauge_factorization,2,diagonal,laplace,8192,8192,64,24,24,24,0.25,0.25,9.378715390711406e-17,1.99254568561409e-31,0.9996530718040886,0.9966898526525193,0.042021359674784466,0.0283472412817191
gauge_factorization,3,diagonal,laplace,8192,8192,64,24,24,24,0.25,0.25,9.408174539542226e-17,1.9955168593009504e-31,0.99738028472589,0.9966898526525193,0.04496481263204689,0.02913015915980278
gauge_factorization,4,diagonal,laplace,8192,8192,64,24,24,24,0.25,0.25,9.445859422742078e-17,1.9997889170645716e-31,1.004549157810749,0.9966898526525193,0.0425552147486553,0.028184697183933835
gauge_factorization,5,diagonal,laplace,8192,8192,64,24,24,24,0.25,0.25,9.478415483119243e-17,2.0380955634734257e-31,1.0022731574936792,0.9966898526525193,0.044016766863101096,0.027940756767764693
gauge_factorization,6,diagonal,laplace,8192,8192,64,24,24,24,0.25,0.25,9.545613862172118e-17,2.064041537008162e-31,1.0099925978375706,0.9966898526525193,0.0474285018298472,0.027802982831385846
gauge_factorization,7,diagonal,laplace,8192,8192,64,24,24,24,0.25,0.25,9.452034744214259e-17,2.0319807384460107e-31,0.9984563754663204,0.9966898526525193,0.03868063070648445,0.028172674935650524
gauge_factorization,8,diagonal,laplace,8192,8192,64,24,24,24,0.25,0.25,9.47493706009667e-17,2.0182862153607293e-31,1.0081878200410008,0.9966898526525193,0.042683832991287814,0.026873683911413062
gauge_factorization,9,diagonal,laplace,8192,8192,64,24,24,24,0.25,0.25,9.46445460521137e-17,2.0198190209877416e-31,1.0022793285748732,0.9966898526525193,0.05222118334079569,0.027637695962711782
gauge_factorization,0,gaussianized,laplace,8192,8192,64,24,24,24,0.25,0.25,5.828820856412284e-13,7.727458848351627e-24,0.05670058710644914,0.0,0.057197558852180856,7.727860964332102e-05
gauge_factorization,1,gaussianized,laplace,8192,8192,64,24,24,24,0.25,0.25,1.1005269859275322e-14,2.7270364429057825e-27,0.05862492237982384,0.0,0.05852490222928333,8.131284729437004e-05
gauge_factorization,2,gaussianized,laplace,8192,8192,64,24,24,24,0.25,0.25,9.475230678284486e-15,2.033766820421572e-27,0.05285759175262693,0.0,0.05288298872681198,9.877327841615447e-05
gauge_factorization,3,gaussianized,laplace,8192,8192,64,24,24,24,0.25,0.25,2.3166306306920718e-14,1.2099244650038173e-26,0.05884716366425112,0.0,0.059035516496738924,8.41369560196581e-05
gauge_factorization,4,gaussianized,laplace,8192,8192,64,24,24,24,0.25,0.25,1.0234739276648964e-12,2.3477657831877224e-23,0.05524968623335571,0.0,0.0551859114367061,6.695720276504055e-05
gauge_factorization,5,gaussianized,laplace,8192,8192,64,24,24,24,0.25,0.25,5.998005383132132e-14,8.161439435291724e-26,0.05743250440095182,0.0,0.057716347137998204,8.440544116716668e-05
gauge_factorization,6,gaussianized,laplace,8192,8192,64,24,24,24,0.25,0.25,7.781503634846512e-15,1.3716324699936279e-27,0.05566131472566579,0.0,0.05565202365439076,6.815006421630505e-05
gauge_factorization,7,gaussianized,laplace,8192,8192,64,24,24,24,0.25,0.25,1.9882176831708642e-14,8.99076885179046e-27,0.05366208796499793,0.0,0.05368514431110996,8.584360642097988e-05
gauge_factorization,8,gaussianized,laplace,8192,8192,64,24,24,24,0.25,0.25,1.407964671038429e-14,4.456702060981645e-27,0.055189199968769705,0.0,0.05512656360173863,8.352863428484942e-05
gauge_factorization,9,gaussianized,laplace,8192,8192,64,24,24,24,0.25,0.25,2.1847356650147325e-14,1.0762646336988154e-26,0.05376755939665013,0.0,0.053709505170305205,9.769812615719976e-05
