experiment,seed,condition_label,n_train,n_test,context_dim,target_dim,K,d,r_star,alpha,overlap,sigma_z,sigma_y,spectrum_decay,spectrum_trace,spectrum_gap_rank,embedding_decay,embedding_trace,subspace_operator,test_mse,ols_test_mse,rrr_test_mse,oracle_test_mse,ols_test_risk,rrr_test_risk,excess_risk_over_ols,recovered_rank,rrr_effective_rank,model_effective_rank,rank_equality_target,rank_equality_gap,oracle_rank,oracle_effective_rank,target_rank,rank_fraction,oracle_rank_fraction,subspace_error,theorem_subspace_error,operator_error_op,cross_cov_error_op,subspace_bound_denominator,empirical_subspace_bound,empirical_subspace_bound_clipped,subspace_bound_valid,retained_subspace_error,retained_subspace_bound,retained_subspace_bound_clipped,retained_subspace_bound_valid,sigma_min_nonzero,sigma_top,lambda_top,oracle_sigma_min_nonzero,oracle_sigma_top,oracle_lambda_top,oracle_effective_sigma_min,lambda_het_proxy,oracle_lambda_het_proxy,sigma_at_population_rank,lambda_at_population_rank,oracle_sigma_at_population_rank,oracle_lambda_at_population_rank,sigma_at_bottleneck_rank,sigma_after_bottleneck_rank,lambda_at_bottleneck_rank,oracle_sigma_at_bottleneck_rank,oracle_sigma_after_bottleneck_rank,oracle_lambda_at_bottleneck_rank,retained_gap_abs,retained_relative_gap,normalized_operator_error,relative_conditioning,oracle_relative_conditioning,trace_h,oracle_trace_h,entropy_gap,oracle_entropy_gap,embedding_relative_conditioning,embedding_entropy_gap,empirical_effdim,oracle_effdim,zz_hat_min_eig,zz_hat_condition,zz_pop_min_eig,zz_pop_condition,spectral_tail_proxy,population_tail_per_target,population_rank_r_mse,empirical_spectral_tail,population_spectral_energy,empirical_spectral_energy,spectral_tail_ratio,empirical_spectral_tail_ratio,excess_risk_ratio,relative_rrr_to_ols,per_target_excess_mse,rank_r_excess_mse,rank_r_risk_stability_ratio,per_target_risk_stability_ratio,fixed_eval_mse,fixed_eval_excess_mse,risk_stability_ratio,fixed_eval_relative_mse,oracle_fixed_eval_mse,oracle_fixed_eval_relative_mse,theorem_fixed_eval_mse,theorem_oracle_fixed_eval_mse,theorem_fixed_eval_excess_mse,theorem_fixed_eval_relative_mse,runtime_sec
unified_risk,0,,512,8192,80,1,64,16,32,1.0,0.0,0.25,0.25,0.35,64.0,16,1.0,16.0,whitened_raw,0.39539059707582247,0.14477043055624786,0.39539059707582247,0.12097493691975716,9.265307555599861,25.304998212852635,16.039690657252773,40,16,16,16,0,32,32,32,1.25,1.0,0.7742246953881279,0.23115996435781352,0.48442233378360705,0.48442233378360705,0.5035224310629893,0.9620670379290552,0.9620670379290552,1,0.42404471026237983,2.451972473015946,1.0,1,0.09937925105695007,1.9544072325658108,3.8197076307055515,0.9879447648465963,1.6699314428937326,2.788671023965144,0.9879447648465963,0.009876235540640136,0.9760348583877965,0.786328324962965,0.6183122346390623,0.9879447648465963,0.9760348583877965,1.370659028408135,1.1152136330977476,1.8787061721567326,1.6699314428937302,0.987944764846599,2.7886710239651356,0.6819866780471312,0.4083920216900365,0.2900851623849768,0.49184554258926627,0.999999999999997,61.13005900022472,60.235294117647044,-0.01995231655187779,0.0,1.0,0.0,16.003858124851607,21.599999999999977,0.029087215466485877,55.97487770349953,0.06249999999999923,17.000000000000245,15.616557734204799,0.24400871459694998,0.36498365151670714,14.870417624026448,60.235294117647065,61.13005828800645,0.2592592592592593,0.24325868550568652,0.26238631381118305,2.7311557723260402,0.27441566015606533,0.030406945559115328,0.07170693283805114,1.1871245131847146,0.539021087643784,-0.011008303912574458,0.0,0.5381476786293858,0.5500293915563584,0.5491381451101958,0.06383924176838388,0.06291646373593573,0.0009227780324481405,0.06373579911927235,0.24736140004824847
unified_risk,1,,512,8192,80,1,64,16,32,1.0,0.0,0.25,0.25,0.35,64.0,16,1.0,16.0,whitened_raw,0.38916824703924113,0.14383293253419452,0.38916824703924113,0.12135700064592123,9.205307682188451,24.906767810511425,15.701460128322974,38,16,16,16,0,32,32,32,1.1875,1.0,0.9522792844388209,0.2136496939308695,0.48520068071382877,0.48520068071382877,0.5027440841327677,0.9651047044159629,0.9651047044159629,1,0.38031614623928156,2.4656260470201428,1.0,1,0.10346936931028683,2.004700570877515,4.018824378876635,0.9879447648465964,1.6699314428937333,2.788671023965146,0.9879447648465964,0.010705910385468672,0.9760348583877967,0.792496307490285,0.6280503973857363,0.9879447648465964,0.9760348583877967,1.3614781211643678,1.1359571530594106,1.853622674409257,1.6699314428937313,0.9879447648465993,2.7886710239651396,0.681986678047132,0.4083920216900368,0.29055125752530947,0.4612350527562471,0.9999999999999976,60.46910151628718,60.23529411764706,-0.02114830380374899,-2.220446049250313e-16,1.0,0.0,15.046465288236817,21.599999999999962,0.026918008625239402,60.24291557755695,0.062499999999999334,17.0000000000002,15.6165577342048,0.24400871459695,0.3653657152428712,15.14925839891079,60.235294117647086,60.46910081230112,0.25925925925925924,0.2505289179995381,0.25966088328419223,2.705696394994388,0.2678112463933199,0.02380253179636993,0.06258617214057016,1.2535063423960504,0.5364850773485211,-0.005814137546428011,0.0,0.5373762785005147,0.5422992148949491,0.5432000744070686,0.06349920006642584,0.06257290645804514,0.0009262936083807016,0.06360468400743229,0.22452819999307394
unified_risk,2,,512,8192,80,1,64,16,32,1.0,0.0,0.25,0.25,0.35,64.0,16,1.0,16.0,whitened_raw,0.39180737183797837,0.14350034904529066,0.39180737183797837,0.12148051889171593,9.184022338898599,25.075671797630612,15.891649458732013,41,16,16,16,0,32,32,32,1.28125,1.0,0.8011440025913088,0.21746098722002838,0.4623658866529186,0.4623658866529186,0.5255788781936781,0.8797269179499538,0.8797269179499538,1,0.43317496862299454,2.1052919612833256,1.0,1,0.09875053184079091,1.950499060649624,3.8044465855950653,0.9879447648465968,1.6699314428937324,2.788671023965143,0.9879447648465968,0.009751667538839031,0.9760348583877974,0.7553837775575959,0.5706046513971835,0.9879447648465968,0.9760348583877974,1.4254168462608114,1.1463517468123547,2.031813185604118,1.6699314428937306,0.9879447648465991,2.7886710239651373,0.6819866780471315,0.40839202169003674,0.2768771667965663,0.5340627447096398,0.9999999999999979,61.56379065206241,60.23529411764705,-0.016406386189459887,0.0,1.0,0.0,16.18206203371706,21.599999999999987,0.027579260472326003,59.51908249557865,0.06249999999999931,17.000000000000213,15.616557734204802,0.24400871459695003,0.36548923348866597,15.157208199026485,60.23529411764708,61.56378993822568,0.2592592592592593,0.24620329928088452,0.2581330596228401,2.7303583192980154,0.27032685294626246,0.026318138349312403,0.06075636926338162,1.2431050571509825,0.5371449325852856,-0.00861119156576029,0.0,0.5354456410220673,0.5457561241510459,0.5440295905451511,0.06361223935492943,0.06284113885924221,0.0007711004956872242,0.06341099806026992,0.23469819995807484
unified_risk,3,,512,8192,80,1,64,16,32,1.0,0.0,0.25,0.25,0.35,64.0,16,1.0,16.0,whitened_raw,0.3930640620305727,0.14436224524791694,0.3930640620305727,0.12097660356986681,9.239183695866686,25.156099969956657,15.91691627408997,40,16,16,16,0,32,32,32,1.25,1.0,0.8366707197399478,0.22132042005018024,0.47372602486378546,0.47372602486378546,0.5142187399828105,0.9212539101154138,0.9212539101154138,1,0.42602026371606255,2.2746784744150954,1.0,1,0.09886302924620353,1.946277405054378,3.7879957374252036,0.987944764846596,1.6699314428937324,2.788671023965143,0.987944764846596,0.009773898551735691,0.9760348583877958,0.7890127770646436,0.6225411623712609,0.987944764846596,0.9760348583877958,1.429675908178805,1.1596734959688872,2.043973202426891,1.6699314428937306,0.9879447648465989,2.7886710239651373,0.6819866780471318,0.4083920216900369,0.28367992403502007,0.5395922657020283,0.9999999999999979,60.058810610828246,60.23529411764703,-0.01712139776957522,2.220446049250313e-16,1.0,0.0,15.855036482076862,21.599999999999977,0.029208296837943442,56.89872844453491,0.06249999999999929,17.000000000000213,15.616557734204783,0.24400871459694973,0.36498531816681656,15.188983554215781,60.23529411764707,60.05880990116031,0.259259259259259,0.25290184036634294,0.265022172438726,2.7227621831148014,0.2720874584607059,0.02807874386375614,0.06590940914132265,1.2293825323438985,0.5392302401736522,-0.00743675865939164,0.0,0.5385715480345736,0.5466669988330438,0.5459992223843249,0.06378216256223886,0.0628855697353228,0.0008965928269160511,0.06370425000103003,0.23286300001200289
unified_risk,4,,512,8192,80,1,64,16,32,1.0,0.0,0.25,0.25,0.35,64.0,16,1.0,16.0,whitened_raw,0.3911719954630319,0.1427850661883396,0.3911719954630319,0.12087357318513262,9.138244236053733,25.035007709634037,15.896763473580304,39,16,16,16,0,32,32,32,1.21875,1.0,0.8179957970323355,0.21485839670703985,0.45190464333384384,0.45190464333384384,0.5360401215127526,0.8430425731165961,0.8430425731165961,1,0.3934388056389899,1.9641022555149799,1.0,1,0.10043345372864956,1.9939788841554005,3.975951790457616,0.9879447648465964,1.669931442893733,2.7886710239651453,0.9879447648465964,0.010086878627865083,0.9760348583877967,0.8097056863948588,0.6556232985801695,0.9879447648465964,0.9760348583877967,1.4141519707684194,1.1627279988088695,1.9998257964282045,1.6699314428937313,0.9879447648466,2.7886710239651396,0.6819866780471313,0.40839202169003647,0.2706126920700187,0.5029803935821949,0.9999999999999979,61.23668008647103,60.23529411764707,-0.017046826083152222,0.0,1.0,0.0,15.401766247126185,21.599999999999977,0.027813803563308964,59.79014437646314,0.06249999999999916,17.000000000000256,15.616557734204804,0.24400871459695006,0.36488228778208265,15.690666995829364,60.23529411764707,61.23667937614916,0.25925925925925936,0.2562298797988165,0.25959545219514096,2.7395861899665284,0.27029842227789924,0.026289707680949237,0.066820322002177,1.2580305281084827,0.539277230903838,-0.006231438127558331,0.0,0.5390835627018481,0.5455086690313963,0.5453127629611101,0.06363315402949225,0.06286353668955069,0.0007696173399415612,0.06361030174161209,0.22103780001634732
unified_risk,5,,512,8192,80,1,64,16,32,1.0,0.0,0.25,0.25,0.35,64.0,16,1.0,16.0,whitened_raw,0.39205095854880256,0.14371301800986636,0.39205095854880256,0.12141063578023657,9.197633152631447,25.091261347123364,15.893628194491917,39,16,16,16,0,32,32,32,1.21875,1.0,0.8648604820307131,0.2087418089617262,0.4726372729688771,0.4726372729688771,0.515307491877719,0.9171946467276136,0.9171946467276136,1,0.40750184089007374,2.2576480348353813,1.0,1,0.10267410808258158,1.9879184862071906,3.951819907804288,0.9879447648465961,1.6699314428937326,2.788671023965144,0.9879447648465961,0.010541972470553738,0.976034858387796,0.79795730689357,0.6367358636248391,0.9879447648465961,0.976034858387796,1.39155128811662,1.1522393236671642,1.9364149874590246,1.6699314428937306,0.9879447648465992,2.7886710239651373,0.6819866780471314,0.40839202169003663,0.28302795002761905,0.49000587897107295,0.9999999999999976,62.61632675141814,60.23529411764704,-0.02035652407758959,0.0,1.0,0.0,15.844934286544715,21.599999999999973,0.027228064282876916,60.773460325493176,0.062499999999999375,17.000000000000195,15.616557734204791,0.24400871459694987,0.3654193503771864,15.738684191781616,60.23529411764707,62.61632604004231,0.2592592592592592,0.25135112816611016,0.2538256266317534,2.728012840993201,0.270640322768566,0.02663160817161614,0.06535334444979891,1.2965314620713533,0.540488794693397,-0.007782096374900238,0.0,0.5406975296213962,0.5482708910682972,0.5484826314153586,0.06333293996550335,0.06254369158183824,0.000789248383665106,0.06335739893078342,0.2310410999925807
unified_risk,6,,512,8192,80,1,64,16,32,1.0,0.0,0.25,0.25,0.35,64.0,16,1.0,16.0,whitened_raw,0.393374276735438,0.14496960200079387,0.393374276735438,0.12131519549945548,9.27805452805081,25.175953711068026,15.897899183017216,38,16,16,16,0,32,32,32,1.1875,1.0,0.7241264394889493,0.21099196776344598,0.4585068592548093,0.4585068592548093,0.5294379055917867,0.8660257499740347,0.8660257499740347,1,0.38460407810554836,2.051670086957138,1.0,1,0.10168109957819663,1.971471943259429,3.886701623059109,0.987944764846596,1.6699314428937326,2.788671023965144,0.987944764846596,0.010339046011431268,0.9760348583877958,0.8174233917821563,0.6681810014326446,0.987944764846596,0.9760348583877958,1.4455653127936856,1.177392889292405,2.089659073552306,1.6699314428937306,0.9879447648465991,2.7886710239651373,0.6819866780471315,0.4083920216900367,0.27456627708038595,0.5376432966077794,0.9999999999999976,62.503761921193004,60.235294117647044,-0.018266946770529646,0.0,1.0,0.0,16.081440764675452,21.599999999999977,0.02765999164477217,60.4733064466321,0.06249999999999931,17.000000000000213,15.616557734204806,0.2440087145969501,0.3653239100964056,15.545377152944688,60.235294117647086,62.50376120331442,0.25925925925925936,0.24871106720087038,0.25435108027025727,2.7134949072515484,0.27205908123598255,0.02805036663903243,0.07293309727031667,1.2894286172116376,0.5421081343503307,-0.005189548437188551,0.0,0.5394815468128171,0.5472976827875192,0.5446459511830073,0.06422668509919718,0.06340479597380178,0.0008218891253954086,0.0639154980869242,0.22558100003516302
unified_risk,7,,512,8192,80,1,64,16,32,1.0,0.0,0.25,0.25,0.35,64.0,16,1.0,16.0,whitened_raw,0.39017000584125805,0.14300496225557005,0.39017000584125805,0.1207675867392651,9.152317584356481,24.970880373840508,15.818562789484027,39,16,16,16,0,32,32,32,1.21875,1.0,0.9684601956697207,0.20974377129287375,0.4447201550388479,0.4447201550388479,0.5432246098077487,0.8186671719387635,0.8186671719387635,1,0.3690291955344443,1.8743485149117367,1.0,1,0.09794733640929894,1.920166048287211,3.6870376529949236,0.9879447648465965,1.669931442893733,2.7886710239651453,0.9879447648465965,0.009593680709676297,0.9760348583877969,0.8244443889032776,0.6797085503940989,0.9879447648465965,0.9760348583877969,1.3199495149536038,1.1568812819990082,1.742266722026254,1.669931442893731,0.9879447648465995,2.7886710239651387,0.6819866780471315,0.4083920216900366,0.2663104266533341,0.47253835897527047,0.9999999999999976,60.1406060471262,60.23529411764707,-0.019609108875375814,-2.220446049250313e-16,1.0,0.0,16.311362049225323,21.599999999999977,0.028324454954069204,54.52691468612459,0.06249999999999929,17.000000000000213,15.616557734204825,0.2440087145969504,0.3647763013362155,15.382234584092071,60.2352941176472,60.140605338797,0.2592592592592592,0.25577119647262536,0.2630263313841205,2.7283669020098,0.2694024191019929,0.025393704505042525,0.06881218291757715,1.2844358497102417,0.5342156945058062,-0.007884598529690034,0.0,0.535453112911978,0.5421002930354962,0.5433559747526232,0.06359724815049994,0.0627430407626301,0.0008542073878698431,0.06374456019365528,0.21131829998921603
unified_risk,8,,512,8192,80,1,64,16,32,1.0,0.0,0.25,0.25,0.35,64.0,16,1.0,16.0,whitened_raw,0.38978476407735274,0.14294559860082967,0.38978476407735274,0.12079983689124667,9.148518310453099,24.94622490095058,15.79770659049748,39,16,16,16,0,32,32,32,1.21875,1.0,0.7693283517330533,0.2090103974004069,0.4788419414079787,0.4788419414079787,0.5091028234386175,0.9405603728020037,0.9405603728020037,1,0.360715409149436,2.3571466794069433,1.0,1,0.10083107826487224,1.9906485798484477,3.9626817684526414,0.9879447648465962,1.669931442893733,2.7886710239651453,0.9879447648465962,0.010166906344056799,0.9760348583877962,0.7928384720028041,0.6285928426877412,0.9879447648465962,0.9760348583877962,1.3562255275635562,1.1152444839370512,1.8393476816150462,1.6699314428937313,0.9879447648465991,2.7886710239651396,0.6819866780471322,0.40839202169003697,0.28674347288067087,0.4641673970032874,0.9999999999999979,60.28929154164409,60.235294117647065,-0.0216804962207795,0.0,1.0,0.0,15.214265253802102,21.599999999999973,0.027583226019761164,58.060677911773126,0.06249999999999937,17.0000000000002,15.616557734204804,0.24400871459695006,0.36480855148819674,15.020725623301567,60.23529411764709,60.289290838654516,0.2592592592592593,0.24914417493315447,0.26203172023991983,2.72680493763094,0.26898492718610606,0.024976212589156,0.06924076974712476,1.286945197615238,0.5388402588846161,-0.00636427283619323,0.0,0.5384478597288025,0.5452045317208093,0.5448074979163274,0.06370437837032525,0.06284095307919198,0.0008634252911332713,0.0636579869883118,0.22948219999670982
unified_risk,9,,512,8192,80,1,64,16,32,1.0,0.0,0.25,0.25,0.35,64.0,16,1.0,16.0,whitened_raw,0.3939512616642192,0.14398970473112221,0.3939512616642192,0.12096007178744621,9.215341102791822,25.212880746510027,15.997539643718206,40,16,16,16,0,32,32,32,1.25,1.0,0.7189814557232231,0.2150899340409507,0.5016266793880898,0.5016266793880898,0.48631808545850674,1.0314785618452786,1.0,1,0.436475493774034,2.781252401406254,1.0,1,0.0996883995325935,1.976362517048023,3.906008798792397,0.9879447648465965,1.669931442893733,2.7886710239651453,0.9879447648465965,0.009937777001370237,0.9760348583877969,0.7761442844889315,0.6023999503448354,0.9879447648465965,0.9760348583877969,1.4064058485980355,1.1226346901678739,1.9779774109707604,1.6699314428937313,0.9879447648465993,2.7886710239651396,0.681986678047132,0.40839202169003685,0.30038758867780124,0.5063934857449074,0.9999999999999979,61.80052371639182,60.23529411764706,-0.01914262261218025,2.220446049250313e-16,1.0,0.0,15.821911034992652,21.59999999999997,0.0293640423015498,56.81654473288398,0.062499999999999334,17.000000000000213,15.616557734204806,0.2440087145969501,0.3649687863843963,15.03202734157129,60.23529411764707,61.80052300781913,0.2592592592592594,0.2432346299022325,0.2588576740959646,2.735968258285273,0.27299118987677296,0.028982475279822895,0.06640115125186684,1.269195562749108,0.540387641029534,-0.00919456892710957,0.0,0.5396776855971265,0.5495822099566435,0.5488601747991224,0.06383409796294776,0.06303737740209406,0.0007967205608536976,0.06375023341612858,0.20599259994924068
unified_risk,0,,1024,8192,80,1,64,16,32,1.0,0.0,0.25,0.25,0.35,64.0,16,1.0,16.0,whitened_raw,0.37786946274461647,0.13145524607722403,0.37786946274461647,0.12090152031664364,8.413135748942338,24.183645615655458,15.77050986671312,32,16,16,16,0,32,32,32,1.0,1.0,0.5577624135565268,0.15165012172849401,0.35555500675641766,0.35555500675641766,0.6323897580901787,0.562240299131656,0.562240299131656,1,0.3060561357692806,1.0892172482852236,1.0,1,0.852141229232937,1.8744667318917865,3.5136255289690745,0.9879447648465963,1.6699314428937326,2.788671023965144,0.9879447648465963,0.7261446745586204,0.9760348583877965,0.852141229232937,0.7261446745586209,0.9879447648465963,0.9760348583877965,1.4476464653299106,1.101025641031233,2.095680288582184,1.6699314428937302,0.987944764846599,2.7886710239651356,0.6819866780471312,0.4083920216900365,0.2129159303332213,0.5964438359477292,0.999999999999997,61.0032509180004,60.235294117647044,-0.010282381972585242,0.0,1.0,0.0,17.361910202166374,21.599999999999977,0.038501663907416266,37.93136801170065,0.06249999999999923,17.000000000000245,15.616557734204799,0.24400871459694998,0.36491023491359365,15.195819529580538,60.235294117647065,61.00325028732889,0.2592592592592593,0.2490985227509573,0.25851917385439455,2.8745103297181096,0.25696794242797283,0.012959227831022824,0.042342649979715145,1.6944789723811366,0.5360789006591724,-0.0024195736205653295,0.0,0.534724610265923,0.5384984742797377,0.5371380713435286,0.06119610282899496,0.060808111458504704,0.0003879913704902538,0.06104150376892432,0.23331129999132827
unified_risk,1,,1024,8192,80,1,64,16,32,1.0,0.0,0.25,0.25,0.35,64.0,16,1.0,16.0,whitened_raw,0.37800233444697445,0.13088816332608488,0.37800233444697445,0.12072518330440568,8.37684245286943,24.19214940460637,15.815306951736938,33,16,16,16,0,32,32,32,1.03125,1.0,0.4573969407737697,0.14421011344644338,0.3282380569768242,0.3282380569768242,0.6597067078697723,0.49755149229378337,0.49755149229378337,1,0.2728819723024502,0.9278850500779383,0.9278850500779383,1,0.09881394087070063,1.8751770438540036,3.5162889457970397,0.9879447648465964,1.6699314428937333,2.788671023965146,0.9879447648465964,0.009764194910398018,0.9760348583877967,0.8555093585805703,0.7318962626189388,0.9879447648465964,0.9760348583877967,1.4754243587394493,1.0984863586070222,2.1768770383617153,1.6699314428937313,0.9879447648465993,2.7886710239651396,0.681986678047132,0.4083920216900368,0.1965578038389638,0.6190836623263567,0.9999999999999976,59.87879240820728,60.23529411764706,-0.00921523644908584,-2.220446049250313e-16,1.0,0.0,17.028973821898052,21.599999999999962,0.03773644703557725,37.739798950829936,0.062499999999999334,17.0000000000002,15.6165577342048,0.24400871459695,0.3647338979013557,15.131901140228663,60.235294117647086,59.878791780960675,0.25925925925925924,0.252708858849087,0.26412201184001916,2.8879795150402408,0.25727715114256877,0.013268436545618767,0.048623353289577606,1.7840437469603414,0.5353154703250805,-0.0025836642898047213,0.0,0.5371891812132171,0.5378991346148853,0.5397818888432193,0.06090633174329923,0.060479257195222826,0.0004270745480764032,0.06111951604913403,0.2244732000399381
unified_risk,2,,1024,8192,80,1,64,16,32,1.0,0.0,0.25,0.25,0.35,64.0,16,1.0,16.0,whitened_raw,0.37690004596906346,0.1308465726187309,0.37690004596906346,0.12058417283541596,8.374180647598772,24.12160294202005,15.747422294421279,33,16,16,16,0,32,32,32,1.03125,1.0,0.5352250155277142,0.15985235369296263,0.31816265973791413,0.31816265973791413,0.6697821051086826,0.4750241269678103,0.4750241269678103,1,0.2974040441134953,0.8744960302964516,0.8744960302964516,1,0.0982906711798902,1.8671517048592197,3.4862554889586908,0.9879447648465968,1.6699314428937324,2.788671023965143,0.9879447648465968,0.00966105604099337,0.9760348583877974,0.8509956944325007,0.724193671942654,0.9879447648465968,0.9760348583877974,1.5004095440629208,1.1123004600745672,2.251228799915102,1.6699314428937306,0.9879447648465991,2.7886710239651373,0.6819866780471315,0.40839202169003674,0.1905243841547097,0.6457440675374946,0.9999999999999979,60.300039496751225,60.23529411764705,-0.00903621222105544,0.0,1.0,0.0,17.296506147563566,21.599999999999987,0.03772530369333713,38.22566786424981,0.06249999999999931,17.000000000000213,15.616557734204802,0.24400871459695003,0.364592887432366,15.371222173471034,60.23529411764708,60.30003886818939,0.2592592592592593,0.2549123095437995,0.26115111349834724,2.8804732017498,0.2563158731336475,0.012307158536697449,0.041381947489593625,1.6034538573386774,0.5323467266921793,-0.004257482705452453,0.0,0.5328613489380875,0.5366042093976318,0.5371229473733865,0.06070417040549112,0.060312875681290234,0.0003912947242008871,0.06076285343093992,0.23530310002388433
unified_risk,3,,1024,8192,80,1,64,16,32,1.0,0.0,0.25,0.25,0.35,64.0,16,1.0,16.0,whitened_raw,0.37992598600528354,0.13190707528901507,0.37992598600528354,0.1212872156554524,8.442052818496963,24.315263104338143,15.87321028584118,33,16,16,16,0,32,32,32,1.03125,1.0,0.6338791414990467,0.15854896092253423,0.3372267580404857,0.3372267580404857,0.6507180068061102,0.5182379379597631,0.5182379379597631,1,0.30483890752169884,0.9781495425395876,0.9781495425395876,1,0.092670454421635,1.8517771300163948,3.4290785392517558,0.987944764846596,1.6699314428937324,2.788671023965143,0.987944764846596,0.008587813122712222,0.9760348583877958,0.849734275870751,0.7220483395895896,0.987944764846596,0.9760348583877958,1.4641278981592094,1.1152597452491775,2.143670502168104,1.6699314428937306,0.9879447648465989,2.7886710239651373,0.6819866780471318,0.4083920216900369,0.2019404805362093,0.6251447663359339,0.9999999999999979,60.09766875930457,60.23529411764703,-0.00941936945109978,2.220446049250313e-16,1.0,0.0,17.52589451404581,21.599999999999977,0.03617611980116056,40.7883547716237,0.06249999999999929,17.000000000000213,15.616557734204783,0.24400871459694973,0.36529593025240215,15.259656108666372,60.23529411764707,60.09766812515403,0.259259259259259,0.25391427961710555,0.26412356387580715,2.880254794315214,0.2586387703498311,0.014630055752881399,0.04799274433772865,1.63128644202342,0.5362496477277527,-0.0023672073856600973,0.0,0.535717730871172,0.5386168551134128,0.5380825901760141,0.060973780270130166,0.06060519869540117,0.00036858157472899333,0.06091329914595123,0.24073950003366917
